device,ipFlow,uniqueIps,subnetIps,externalIps,ipVariance,length_0,entropy_0,TCP_0,UDP_0,HTTPS_0,hdrLen_0,commonSrc_0,commonDst_0,HTTP_0,IPv6_0,ICMP_0,DHCP_0,length_1,entropy_1,TCP_1,UDP_1,HTTPS_1,hdrLen_1,commonSrc_1,commonDst_1,HTTP_1,IPv6_1,ICMP_1,DHCP_1,length_2,entropy_2,TCP_2,UDP_2,HTTPS_2,hdrLen_2,commonSrc_2,commonDst_2,HTTP_2,IPv6_2,ICMP_2,DHCP_2,length_3,entropy_3,TCP_3,UDP_3,HTTPS_3,hdrLen_3,commonSrc_3,commonDst_3,HTTP_3,IPv6_3,ICMP_3,DHCP_3,length_4,entropy_4,TCP_4,UDP_4,HTTPS_4,hdrLen_4,commonSrc_4,commonDst_4,HTTP_4,IPv6_4,ICMP_4,DHCP_4,length_5,entropy_5,TCP_5,UDP_5,HTTPS_5,hdrLen_5,commonSrc_5,commonDst_5,HTTP_5,IPv6_5,ICMP_5,DHCP_5,length_6,entropy_6,TCP_6,UDP_6,HTTPS_6,hdrLen_6,commonSrc_6,commonDst_6,HTTP_6,IPv6_6,ICMP_6,DHCP_6
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,40,0,1,0,0,0,0,0,0.0,1,0,1,40,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,458.0,-2.9722674154119075,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,3353,-3.4797061954800173,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,377,-3.468611160133271,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0,677,-3.5354864446503678,1,0,1,32,1,0,0,0,0,0,1268.0,-3.578352401618897,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,623.0,-3.566199501817439,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,4343,-3.5821788105464027,1,0,1,32,1,0,0,0,0,0
Omna,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,4343,-3.5820816078867703,1,0,1,32,1,0,0,0,0,0,4343,-3.5825352016139407,1,0,1,32,1,0,0,0,0,0,4343,-3.5820173750061683,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,4343.0,-3.583920307722097,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,4343,-3.583194881041813,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,4343,-3.582725774579659,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,4343.0,-3.58252151734298,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,4343,-3.5834460083369666,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,4343,-3.5839121897634056,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,4343.0,-3.5831270562576103,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,1454,-3.5761352290778805,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,4343,-3.583630923850124,1,0,1,32,1,0,0,0,0,0,4343.0,-3.5827105028475152,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,4343.0,-3.5825932361325004,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,4343,-3.584301359037593,1,0,1,32,1,0,0,0,0,0,4343,-3.582200413254092,1,0,1,32,1,0,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,4343,-3.5829044383517337,1,0,1,32,1,0,0,0,0,0,4343,-3.5837619226873083,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,4343.0,-3.5825523313712404,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,4343,-3.583453081038595,1,0,1,32,1,0,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,4343.0,-3.580715646517702,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,4343,-3.583223184503478,1,0,1,32,1,0,0,0,0,0,1454,-3.578481427894776,1,0,1,32,1,0,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,4343,-3.584118248172123,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,4343,-3.5826403933684117,1,0,1,32,1,0,0,0,0,0,4343,-3.5831320145823202,1,0,1,32,1,0,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,4343,-3.5821332819457017,1,0,1,32,1,0,0,0,0,0,4343,-3.58386987310174,1,0,1,32,1,0,0,0,0,0,4343,-3.583600628067605,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
